item_id,title,genres,tmdbId
0,Toy Story (1995),"['Animation', ""Children's"", 'Comedy']",862
1,Jumanji (1995),"['Adventure', ""Children's"", 'Fantasy']",8844
2,Grumpier Old Men (1995),"['Comedy', 'Romance']",15602
3,Waiting to Exhale (1995),"['Comedy', 'Drama']",31357
4,Father of the Bride Part II (1995),['Comedy'],11862
5,Heat (1995),"['Action', 'Crime', 'Thriller']",949
6,Sabrina (1995),"['Comedy', 'Romance']",11860
7,Tom and Huck (1995),"['Adventure', ""Children's""]",45325
8,Sudden Death (1995),['Action'],9091
9,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",710
10,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",9087
11,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",12110
12,Balto (1995),"['Animation', ""Children's""]",21032
13,Nixon (1995),['Drama'],10858
14,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",1408
15,Casino (1995),"['Drama', 'Thriller']",524
16,Sense and Sensibility (1995),"['Drama', 'Romance']",4584
17,Four Rooms (1995),['Thriller'],5
18,Ace Ventura: When Nature Calls (1995),['Comedy'],9273
19,Money Train (1995),['Action'],11517
20,Get Shorty (1995),"['Action', 'Comedy', 'Drama']",8012
21,Copycat (1995),"['Crime', 'Drama', 'Thriller']",1710
22,Assassins (1995),['Thriller'],9691
23,Powder (1995),"['Drama', 'Sci-Fi']",12665
24,Leaving Las Vegas (1995),"['Drama', 'Romance']",451
25,Othello (1995),['Drama'],16420
26,Now and Then (1995),['Drama'],9263
27,Persuasion (1995),['Romance'],17015
28,"City of Lost Children, The (1995)","['Adventure', 'Sci-Fi']",902
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['Drama'],37557
30,Dangerous Minds (1995),['Drama'],9909
31,Twelve Monkeys (1995),"['Drama', 'Sci-Fi']",63
32,Wings of Courage (1995),"['Adventure', 'Romance']",78802
33,Babe (1995),"[""Children's"", 'Comedy', 'Drama']",9598
34,Carrington (1995),"['Drama', 'Romance']",47018
35,Dead Man Walking (1995),['Drama'],687
36,Across the Sea of Time (1995),['Documentary'],139405
37,It Takes Two (1995),['Comedy'],33689
38,Clueless (1995),"['Comedy', 'Romance']",9603
39,"Cry, the Beloved Country (1995)",['Drama'],34615
40,Richard III (1995),"['Drama', 'War']",31174
41,Dead Presidents (1995),"['Action', 'Crime', 'Drama']",11443
42,Restoration (1995),['Drama'],35196
43,Mortal Kombat (1995),"['Action', 'Adventure']",9312
44,To Die For (1995),"['Comedy', 'Drama']",577
